qpid	ontology	goid	desc	ARGOT_score	ARGOT_PPV	ARGOT_rank	goclasscount
HGDLLJHE_00002	MF	0016887	ATP hydrolysis activity	4.3397453765	0.607181446311	1	91
HGDLLJHE_00002	MF	0005524	ATP binding	1.64493438211	0.490926253185	8	55
HGDLLJHE_00004	CC	0016020	membrane	1.03608353897	0.452496450212	1	1
HGDLLJHE_00007	MF	0008170	N-methyltransferase activity	7.52462674189	0.702998891016	1	98
HGDLLJHE_00007	BP	0032259	methylation	3.51088521751	0.576766413723	1	68
HGDLLJHE_00007	CC	0016020	membrane	0.0277409179855	0.328883938545	1	3
HGDLLJHE_00007	MF	0009007	site-specific DNA-methyltransferase (adenine-specific) activity	7.03733809517	0.68988629331	2	67
HGDLLJHE_00007	MF	0003677	DNA binding	3.14811067708	0.562327140126	8	98
HGDLLJHE_00008	BP	0009307	DNA restriction-modification system	8.81455538917	0.735788881615	1	2
HGDLLJHE_00008	MF	0003677	DNA binding	3.17300493981	0.563343751261	1	2
HGDLLJHE_00009	MF	0016887	ATP hydrolysis activity	4.50696869123	0.61295411789	1	36
HGDLLJHE_00009	MF	0005524	ATP binding	3.06940843174	0.559086439777	7	37
HGDLLJHE_00011	MF	0009035	type I site-specific deoxyribonuclease activity	12.0891821298	0.809553157274	1	98
HGDLLJHE_00011	BP	0009307	DNA restriction-modification system	8.66589433193	0.732138178964	1	98
HGDLLJHE_00011	MF	0003677	DNA binding	3.11949092258	0.56115341078	15	98
HGDLLJHE_00011	MF	0005524	ATP binding	3.01547053716	0.556841400713	16	98
HGDLLJHE_00011	BP	0071840	cellular component organization or biogenesis	0.167577442701	0.3641393971	24	6
HGDLLJHE_00011	MF	0004386	helicase activity	1.31567919462	0.471248842948	32	19
HGDLLJHE_00013	MF	0008713	ADP-heptose-lipopolysaccharide heptosyltransferase activity	11.4846641454	0.796768728497	1	5
HGDLLJHE_00013	BP	0046401	lipopolysaccharide core region metabolic process	9.95218199117	0.762763588388	1	5
HGDLLJHE_00013	CC	0005829	cytosol	2.70895403203	0.543683234173	1	5
HGDLLJHE_00013	BP	0009312	oligosaccharide biosynthetic process	9.0557387577	0.741646795912	3	5
HGDLLJHE_00013	BP	0009103	lipopolysaccharide biosynthetic process	7.9330214134	0.713664800172	5	5
HGDLLJHE_00014	BP	0046401	lipopolysaccharide core region metabolic process	9.76468591984	0.758428182765	1	98
HGDLLJHE_00014	MF	0016757	glycosyltransferase activity	4.59947724669	0.616101610097	1	85
HGDLLJHE_00014	CC	0005886	plasma membrane	2.42872301211	0.530984918661	1	98
HGDLLJHE_00014	BP	0009312	oligosaccharide biosynthetic process	8.8851314033	0.737511253067	3	98
HGDLLJHE_00014	BP	0009245	lipid A biosynthetic process	8.35105270255	0.724301689904	4	98
HGDLLJHE_00014	BP	0009103	lipopolysaccharide biosynthetic process	7.78356571111	0.70979409676	9	98
HGDLLJHE_00015	BP	0051999	mannosyl-inositol phosphorylceramide biosynthetic process	13.1119471739	0.830475338662	1	95
HGDLLJHE_00015	MF	0000030	mannosyltransferase activity	9.20121043778	0.745142377285	1	95
HGDLLJHE_00015	CC	0016020	membrane	0.0373800322439	0.332772846578	1	4
HGDLLJHE_00016	MF	0008713	ADP-heptose-lipopolysaccharide heptosyltransferase activity	11.4899733484	0.796882453674	1	51
HGDLLJHE_00016	BP	0046401	lipopolysaccharide core region metabolic process	9.95678274866	0.762869454418	1	51
HGDLLJHE_00016	CC	0005829	cytosol	2.7102063444	0.543738467129	1	51
HGDLLJHE_00016	BP	0009312	oligosaccharide biosynthetic process	9.05992510176	0.741747781504	3	51
HGDLLJHE_00016	BP	0009103	lipopolysaccharide biosynthetic process	7.9366887406	0.713759318664	5	51
HGDLLJHE_00018	MF	0008713	ADP-heptose-lipopolysaccharide heptosyltransferase activity	11.4902964709	0.796889374234	1	98
HGDLLJHE_00018	BP	0046401	lipopolysaccharide core region metabolic process	9.95706275457	0.762875896722	1	98
HGDLLJHE_00018	CC	0005829	cytosol	2.71028256117	0.54374182824	1	98
HGDLLJHE_00018	BP	0009312	oligosaccharide biosynthetic process	9.06017988612	0.741753926817	3	98
HGDLLJHE_00018	BP	0009103	lipopolysaccharide biosynthetic process	7.93691193717	0.713765070432	5	98
HGDLLJHE_00019	MF	0016874	ligase activity	3.52937644078	0.577481936125	1	24
HGDLLJHE_00019	CC	0016020	membrane	1.03855790429	0.452672828041	1	36
HGDLLJHE_00020	MF	0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	5.62959001065	0.649212512658	1	96
HGDLLJHE_00020	BP	0005975	carbohydrate metabolic process	4.13137643413	0.599830436614	1	96
HGDLLJHE_00020	MF	0016757	glycosyltransferase activity	5.4330497644	0.643145276972	2	96
HGDLLJHE_00020	MF	0008925	maltose O-acetyltransferase activity	0.160747509733	0.362915514922	6	1
HGDLLJHE_00021	MF	0008712	ADP-glyceromanno-heptose 6-epimerase activity	13.5409469449	0.839007332981	1	97
HGDLLJHE_00021	BP	0097170	ADP-L-glycero-beta-D-manno-heptose metabolic process	11.7113634156	0.801601542909	1	89
HGDLLJHE_00021	BP	0009226	nucleotide-sugar biosynthetic process	7.00201144028	0.688918280767	3	89
HGDLLJHE_00021	MF	0050661	NADP binding	6.89682252092	0.686021367197	4	97
HGDLLJHE_00021	BP	0005975	carbohydrate metabolic process	4.00676576079	0.595345493351	5	97
HGDLLJHE_00022	MF	0004713	protein tyrosine kinase activity	8.84500745187	0.736532891184	1	36
HGDLLJHE_00022	CC	0005886	plasma membrane	2.47646438819	0.533198135123	1	36
HGDLLJHE_00023	MF	0008727	GDP-mannose mannosyl hydrolase activity	15.8725938195	0.855927386437	1	17
HGDLLJHE_00023	MF	0046872	metal ion binding	2.42499404539	0.530811137405	5	17
HGDLLJHE_00023	MF	0047917	GDP-glucosidase activity	2.14798080425	0.517504993398	8	2
HGDLLJHE_00024	MF	0004475	mannose-1-phosphate guanylyltransferase (GTP) activity	10.5051895361	0.7753180311	1	95
HGDLLJHE_00024	BP	0009298	GDP-mannose biosynthetic process	9.96594070069	0.763080111294	1	95
HGDLLJHE_00024	MF	0005525	GTP binding	5.73221481734	0.652338482166	3	95
HGDLLJHE_00024	BP	0000271	polysaccharide biosynthetic process	6.2228880435	0.666911813083	5	95
HGDLLJHE_00024	MF	0016853	isomerase activity	3.7658118015	0.586470759383	7	72
HGDLLJHE_00025	MF	0008966	phosphoglucosamine mutase activity	11.5952725073	0.799132598119	1	97
HGDLLJHE_00025	BP	0006048	UDP-N-acetylglucosamine biosynthetic process	10.2342062909	0.769208536628	1	97
HGDLLJHE_00025	CC	0005829	cytosol	2.71029125949	0.543742211828	1	97
HGDLLJHE_00025	MF	0004615	phosphomannomutase activity	11.2685769722	0.792117540767	2	97
HGDLLJHE_00025	CC	0016020	membrane	0.0120925008885	0.320667049819	5	1
HGDLLJHE_00025	MF	0046872	metal ion binding	2.50807034818	0.534651619854	6	97
HGDLLJHE_00025	BP	0009252	peptidoglycan biosynthetic process	6.7913132843	0.683093353041	7	97
HGDLLJHE_00025	BP	0005975	carbohydrate metabolic process	4.13136133425	0.599829897273	17	97
HGDLLJHE_00026	MF	0008446	GDP-mannose 4,6-dehydratase activity	12.3080055088	0.814101779014	1	99
HGDLLJHE_00026	BP	0019673	GDP-mannose metabolic process	10.0643406198	0.765337488553	1	99
HGDLLJHE_00026	CC	0005737	cytoplasm	1.27935654577	0.468933751795	1	99
HGDLLJHE_00026	MF	0070401	NADP+ binding	11.1174300545	0.788837607025	2	99
HGDLLJHE_00027	MF	0050577	GDP-L-fucose synthase activity	12.6152571841	0.820420827409	1	93
HGDLLJHE_00027	BP	0042351	'de novo' GDP-L-fucose biosynthetic process	12.5405760071	0.818892051261	1	93
HGDLLJHE_00027	MF	0070401	NADP+ binding	11.0008545138	0.786292624267	2	93
HGDLLJHE_00027	MF	0016853	isomerase activity	5.15806835397	0.634469254827	6	93
